provincie,postcode,plaats,Type,hoofdgemeente
Oost-Vlaanderen,2070,Burcht,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,2070,Zwijndrecht,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9000,Gent,Hoofdgemeente,GENT
Oost-Vlaanderen,9030,Mariakerke,Deelgemeente,GENT
Oost-Vlaanderen,9031,Drongen,Deelgemeente,GENT
Oost-Vlaanderen,9032,Wondelgem,Deelgemeente,GENT
Oost-Vlaanderen,9040,Sint-Amandsberg,Deelgemeente,GENT
Oost-Vlaanderen,9041,Oostakker,Deelgemeente,GENT
Oost-Vlaanderen,9042,Desteldonk,Deelgemeente,GENT
Oost-Vlaanderen,9042,Mendonk,Deelgemeente,GENT
Oost-Vlaanderen,9042,Sint-Kruis-Winkel,Deelgemeente,GENT
Oost-Vlaanderen,9050,Gentbrugge,Deelgemeente,GENT
Oost-Vlaanderen,9050,Ledeberg,Deelgemeente,GENT
Oost-Vlaanderen,9051,Afsnee,Deelgemeente,GENT
Oost-Vlaanderen,9051,Sint-Denijs-Westrem,Deelgemeente,GENT
Oost-Vlaanderen,9052,Zwijnaarde,Deelgemeente,GENT
Oost-Vlaanderen,9060,Zelzate,Hoofdgemeente,ZELZATE
Oost-Vlaanderen,9070,Destelbergen,Hoofdgemeente,DESTELBERGEN
Oost-Vlaanderen,9070,Heusden,Deelgemeente,DESTELBERGEN
Oost-Vlaanderen,9080,Beervelde,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Lochristi,Hoofdgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Zaffelare,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Zeveneken,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9090,Gontrode,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9090,Melle,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9100,Nieuwkerken-Waas,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9100,Sint-Niklaas,Hoofdgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9111,Belsele,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9112,Sinaai-Waas,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9120,Beveren-Waas,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Haasdonk,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Kallo,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Melsele,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Vrasene,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9130,Doel,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9130,Kallo,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9130,Kieldrecht,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9130,Verrebroek,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9140,Elversele,Deelgemeente,TEMSE
Oost-Vlaanderen,9140,Steendorp,Deelgemeente,TEMSE
Oost-Vlaanderen,9140,Temse,Hoofdgemeente,TEMSE
Oost-Vlaanderen,9140,Tielrode,Deelgemeente,TEMSE
Oost-Vlaanderen,9150,Bazel,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9150,Kruibeke,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9150,Rupelmonde,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9160,Daknam,Deelgemeente,LOKEREN
Oost-Vlaanderen,9160,Eksaarde,Deelgemeente,LOKEREN
Oost-Vlaanderen,9160,Lokeren,Hoofdgemeente,LOKEREN
Oost-Vlaanderen,9170,De Klinge,Deelgemeente,SINT-GILLIS-WAAS
Oost-Vlaanderen,9170,Meerdonk,Deelgemeente,SINT-GILLIS-WAAS
Oost-Vlaanderen,9170,Sint-Gillis-Waas,Hoofdgemeente,SINT-GILLIS-WAAS
Oost-Vlaanderen,9170,Sint-Pauwels,Deelgemeente,SINT-GILLIS-WAAS
Oost-Vlaanderen,9180,Moerbeke-Waas,Deelgemeente,LOKEREN
Oost-Vlaanderen,9185,Wachtebeke,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9190,Kemzeke,Deelgemeente,STEKENE
Oost-Vlaanderen,9190,Stekene,Hoofdgemeente,STEKENE
Oost-Vlaanderen,9200,Appels,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Baasrode,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Dendermonde,Hoofdgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Grembergen,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Mespelare,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Oudegem,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Schoonaarde,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9200,Sint-Gillis-Dendermonde,Deelgemeente,DENDERMONDE
Oost-Vlaanderen,9220,Hamme,Hoofdgemeente,HAMME
Oost-Vlaanderen,9220,Moerzeke,Deelgemeente,HAMME
Oost-Vlaanderen,9230,Massemen,Deelgemeente,WETTEREN
Oost-Vlaanderen,9230,Westrem,Deelgemeente,WETTEREN
Oost-Vlaanderen,9230,Wetteren,Hoofdgemeente,WETTEREN
Oost-Vlaanderen,9240,Zele,Hoofdgemeente,ZELE
Oost-Vlaanderen,9250,Waasmunster,Hoofdgemeente,WAASMUNSTER
Oost-Vlaanderen,9255,Buggenhout,Hoofdgemeente,BUGGENHOUT
Oost-Vlaanderen,9255,Opdorp,Deelgemeente,BUGGENHOUT
Oost-Vlaanderen,9260,Schellebelle,Deelgemeente,WICHELEN
Oost-Vlaanderen,9260,Serskamp,Deelgemeente,WICHELEN
Oost-Vlaanderen,9260,Wichelen,Hoofdgemeente,WICHELEN
Oost-Vlaanderen,9270,Kalken,Deelgemeente,LAARNE
Oost-Vlaanderen,9270,Laarne,Hoofdgemeente,LAARNE
Oost-Vlaanderen,9280,Denderbelle,Deelgemeente,LEBBEKE
Oost-Vlaanderen,9280,Lebbeke,Hoofdgemeente,LEBBEKE
Oost-Vlaanderen,9280,Wieze,Deelgemeente,LEBBEKE
Oost-Vlaanderen,9290,Berlare,Hoofdgemeente,BERLARE
Oost-Vlaanderen,9290,Overmere,Deelgemeente,BERLARE
Oost-Vlaanderen,9290,Uitbergen,Deelgemeente,BERLARE
Oost-Vlaanderen,9300,Aalst,Hoofdgemeente,AALST
Oost-Vlaanderen,9308,Gijzegem,Deelgemeente,AALST
Oost-Vlaanderen,9308,Hofstade,Deelgemeente,AALST
Oost-Vlaanderen,9310,Baardegem,Deelgemeente,AALST
Oost-Vlaanderen,9310,Herdersem,Deelgemeente,AALST
Oost-Vlaanderen,9310,Meldert,Deelgemeente,AALST
Oost-Vlaanderen,9310,Moorsel,Deelgemeente,AALST
Oost-Vlaanderen,9320,Erembodegem,Deelgemeente,AALST
Oost-Vlaanderen,9320,Nieuwerkerken,Deelgemeente,AALST
Oost-Vlaanderen,9340,Impe,Deelgemeente,LEDE
Oost-Vlaanderen,9340,Lede,Hoofdgemeente,LEDE
Oost-Vlaanderen,9340,Oordegem,Deelgemeente,LEDE
Oost-Vlaanderen,9340,Smetlede,Deelgemeente,LEDE
Oost-Vlaanderen,9340,Wanzele,Deelgemeente,LEDE
Oost-Vlaanderen,9400,Appelterre-Eichem,Deelgemeente,NINOVE
Oost-Vlaanderen,9400,Denderwindeke,Deelgemeente,NINOVE
Oost-Vlaanderen,9400,Lieferinge,Deelgemeente,NINOVE
Oost-Vlaanderen,9400,Nederhasselt,Deelgemeente,NINOVE
Oost-Vlaanderen,9400,Ninove,Hoofdgemeente,NINOVE
Oost-Vlaanderen,9400,Okegem,Deelgemeente,NINOVE
Oost-Vlaanderen,9400,Voorde,Deelgemeente,NINOVE
Oost-Vlaanderen,9401,Pollare,Deelgemeente,NINOVE
Oost-Vlaanderen,9402,Meerbeke,Deelgemeente,NINOVE
Oost-Vlaanderen,9403,Neigem,Deelgemeente,NINOVE
Oost-Vlaanderen,9404,Aspelare,Deelgemeente,NINOVE
Oost-Vlaanderen,9406,Outer,Deelgemeente,NINOVE
Oost-Vlaanderen,9420,Aaigem,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Bambrugge,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Burst,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Erondegem,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Erpe,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Mere,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Ottergem,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9420,Vlekkem,Deelgemeente,ERPE-MERE
Oost-Vlaanderen,9450,Denderhoutem,Deelgemeente,HAALTERT
Oost-Vlaanderen,9450,Haaltert,Hoofdgemeente,HAALTERT
Oost-Vlaanderen,9450,Heldergem,Deelgemeente,HAALTERT
Oost-Vlaanderen,9451,Kerksken,Deelgemeente,HAALTERT
Oost-Vlaanderen,9470,Denderleeuw,Hoofdgemeente,DENDERLEEUW
Oost-Vlaanderen,9472,Iddergem,Deelgemeente,DENDERLEEUW
Oost-Vlaanderen,9473,Welle,Deelgemeente,DENDERLEEUW
Oost-Vlaanderen,9500,Geraardsbergen,Hoofdgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Goeferdinge,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Moerbeke,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Nederboelare,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Onkerzele,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Ophasselt,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Overboelare,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Viane,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9500,Zarlardinge,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Grimminge,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Idegem,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Nieuwenhove,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Schendelbeke,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Smeerebbe-Vloerzegem,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Waarbeke,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9506,Zandbergen,Deelgemeente,GERAARDSBERGEN
Oost-Vlaanderen,9520,Bavegem,Deelgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9520,Oombergen,Deelgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9520,Sint-Lievens-Houtem,Hoofdgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9520,Vlierzele,Deelgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9520,Zonnegem,Deelgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9521,Letterhoutem,Deelgemeente,SINT-LIEVENS-HOUTEM
Oost-Vlaanderen,9550,Herzele,Hoofdgemeente,HERZELE
Oost-Vlaanderen,9550,Hillegem,Deelgemeente,HERZELE
Oost-Vlaanderen,9550,Sint-Antelinks,Deelgemeente,HERZELE
Oost-Vlaanderen,9550,Sint-Lievens-Esse,Deelgemeente,HERZELE
Oost-Vlaanderen,9550,Steenhuize-Wijnhuize,Deelgemeente,HERZELE
Oost-Vlaanderen,9550,Woubrechtegem,Deelgemeente,HERZELE
Oost-Vlaanderen,9551,Ressegem,Deelgemeente,HERZELE
Oost-Vlaanderen,9552,Borsbeke,Deelgemeente,HERZELE
Oost-Vlaanderen,9570,Deftinge,Deelgemeente,LIERDE
Oost-Vlaanderen,9570,Sint-Maria-Lierde,Deelgemeente,LIERDE
Oost-Vlaanderen,9571,Hemelveerdegem,Deelgemeente,LIERDE
Oost-Vlaanderen,9572,Sint-Martens-Lierde,Deelgemeente,LIERDE
Oost-Vlaanderen,9600,Ronse,Hoofdgemeente,RONSE
Oost-Vlaanderen,9620,Elene,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Erwetegem,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Godveerdegem,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Grotenberge,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Leeuwergem,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Oombergen,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Sint-Goriks-Oudenhove,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Sint-Maria-Oudenhove,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Strijpen,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Velzeke-Ruddershove,Deelgemeente,ZOTTEGEM
Oost-Vlaanderen,9620,Zottegem,Hoofdgemeente,ZOTTEGEM
Oost-Vlaanderen,9630,Beerlegem,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Dikkele,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Hundelgem,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Meilegem,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Munkzwalm,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Paulatem,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Roborst,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Rozebeke,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Sint-Blasius-Boekel,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Sint-Denijs-Boekel,Deelgemeente,ZWALM
Oost-Vlaanderen,9630,Sint-Maria-Latem,Deelgemeente,ZWALM
Oost-Vlaanderen,9636,Nederzwalm-Hermelgem,Deelgemeente,ZWALM
Oost-Vlaanderen,9660,Brakel,Hoofdgemeente,BRAKEL
Oost-Vlaanderen,9660,Elst,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Everbeek,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Michelbeke,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Nederbrakel,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Opbrakel,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Sint-Maria-Oudenhove,Deelgemeente,BRAKEL
Oost-Vlaanderen,9660,Zegelsem,Deelgemeente,BRAKEL
Oost-Vlaanderen,9661,Parike,Deelgemeente,BRAKEL
Oost-Vlaanderen,9667,Sint-Kornelis-Horebeke,Deelgemeente,HOREBEKE
Oost-Vlaanderen,9667,Sint-Maria-Horebeke,Deelgemeente,HOREBEKE
Oost-Vlaanderen,9680,Etikhove,Deelgemeente,MAARKEDAL
Oost-Vlaanderen,9680,Maarke-Kerkem,Deelgemeente,MAARKEDAL
Oost-Vlaanderen,9681,Nukerke,Deelgemeente,MAARKEDAL
Oost-Vlaanderen,9688,Schorisse,Deelgemeente,MAARKEDAL
Oost-Vlaanderen,9690,Berchem,Deelgemeente,KLUISBERGEN
Oost-Vlaanderen,9690,Kwaremont,Deelgemeente,KLUISBERGEN
Oost-Vlaanderen,9690,Ruien,Deelgemeente,KLUISBERGEN
Oost-Vlaanderen,9690,Zulzeke,Deelgemeente,KLUISBERGEN
Oost-Vlaanderen,9700,Bevere,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Edelare,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Eine,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Ename,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Heurne,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Leupegem,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Mater,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Melden,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Mullem,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Nederename,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Ooike,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Oudenaarde,Hoofdgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Volkegem,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9700,Welden,Deelgemeente,OUDENAARDE
Oost-Vlaanderen,9750,Huise,Deelgemeente,KRUISEM
Oost-Vlaanderen,9750,Ouwegem,Deelgemeente,KRUISEM
Oost-Vlaanderen,9750,Zingem,Deelgemeente,KRUISEM
Oost-Vlaanderen,9770,Kruishoutem,Deelgemeente,KRUISEM
Oost-Vlaanderen,9771,Nokere,Deelgemeente,KRUISEM
Oost-Vlaanderen,9772,Wannegem-Lede,Deelgemeente,KRUISEM
Oost-Vlaanderen,9790,Elsegem,Deelgemeente,WORTEGEM-PETEGEM
Oost-Vlaanderen,9790,Moregem,Deelgemeente,WORTEGEM-PETEGEM
Oost-Vlaanderen,9790,Ooike,Deelgemeente,WORTEGEM-PETEGEM
Oost-Vlaanderen,9790,Petegem-aan-de-Schelde,Deelgemeente,WORTEGEM-PETEGEM
Oost-Vlaanderen,9790,Wortegem,Deelgemeente,WORTEGEM-PETEGEM
Oost-Vlaanderen,9800,Astene,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Bachte-Maria-Leerne,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Deinze,Hoofdgemeente,DEINZE
Oost-Vlaanderen,9800,Gottem,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Grammene,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Meigem,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Petegem-aan-de-Leie,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Sint-Martens-Leerne,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Vinkt,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Wontergem,Deelgemeente,DEINZE
Oost-Vlaanderen,9800,Zeveren,Deelgemeente,DEINZE
Oost-Vlaanderen,9810,Eke,Deelgemeente,NAZARETH-DE PINTE
Oost-Vlaanderen,9810,Nazareth,Deelgemeente,NAZARETH-DE PINTE
Oost-Vlaanderen,9820,Bottelare,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9820,Lemberge,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9820,Melsen,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9820,Merelbeke,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9820,Munte,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9820,Schelderode,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9830,Sint-Martens-Latem,Hoofdgemeente,SINT-MARTENS-LATEM
Oost-Vlaanderen,9831,Deurle,Deelgemeente,SINT-MARTENS-LATEM
Oost-Vlaanderen,9840,De Pinte,Deelgemeente,NAZARETH-DE PINTE
Oost-Vlaanderen,9840,Zevergem,Deelgemeente,NAZARETH-DE PINTE
Oost-Vlaanderen,9850,Hansbeke,Deelgemeente,DEINZE
Oost-Vlaanderen,9850,Landegem,Deelgemeente,DEINZE
Oost-Vlaanderen,9850,Merendree,Deelgemeente,DEINZE
Oost-Vlaanderen,9850,Nevele,Deelgemeente,DEINZE
Oost-Vlaanderen,9850,Poesele,Deelgemeente,DEINZE
Oost-Vlaanderen,9850,Vosselare,Deelgemeente,DEINZE
Oost-Vlaanderen,9860,Balegem,Deelgemeente,OOSTERZELE
Oost-Vlaanderen,9860,Gijzenzele,Deelgemeente,OOSTERZELE
Oost-Vlaanderen,9860,Landskouter,Deelgemeente,OOSTERZELE
Oost-Vlaanderen,9860,Moortsele,Deelgemeente,OOSTERZELE
Oost-Vlaanderen,9860,Oosterzele,Hoofdgemeente,OOSTERZELE
Oost-Vlaanderen,9860,Scheldewindeke,Deelgemeente,OOSTERZELE
Oost-Vlaanderen,9870,Machelen,Deelgemeente,ZULTE
Oost-Vlaanderen,9870,Olsene,Deelgemeente,ZULTE
Oost-Vlaanderen,9870,Zulte,Hoofdgemeente,ZULTE
Oost-Vlaanderen,9880,Aalter,Hoofdgemeente,AALTER
Oost-Vlaanderen,9880,Lotenhulle,Deelgemeente,AALTER
Oost-Vlaanderen,9880,Poeke,Deelgemeente,AALTER
Oost-Vlaanderen,9881,Bellem,Deelgemeente,AALTER
